contest,country,spot_name,,,,
Quiksilver-Pro-Gold-Coast,Australia,"kirra, snapper-rocks",,,,
Rip-Curl-Pro-Bells-Beach,Australia,bells-beach,,,,
Billabong-Rio-Pro,Brazil,barra-da-tijuca,,,,
Billabong-Pro-J-Bay,South Africa,j-bay,,,,
Billabong-Pro-Teahupoo,Tahiti,teahupoo,,,,
Quiksilver-Pro-New-York,United States,long-beach,,,,
Hurley-Pro-Trestles,California,trestles,,,,
Quiksilver-Pro-France,France,"la-graviere, la-penon",,,,
Rip-Curl-Pro-Portugal,Portugal,supertubos,,,,
Rip-Curl-Search,United States,ocean-beach,,,,
Billabong-Pipe-Masters,Hawaii,pipeline,,,,
Volcom-Fiji-Pro,Fiji,cloudbreak,,,,
O'Neill-Coldwater-Classic-Santa-Cruz,United States,steamer-lane,,,,
Oakley-Pro-Bali,Indonesia,keramas,,,,
Drug-Aware-Margaret-River-Pro,Western Australia,margaret-river,,,,
Fiji-Pro,Fiji,cloudbreak,,,,
J-Bay-Open,South Africa,j-bay,,,,
Billabong-Pro-Tahiti,Tahiti,teahupoo,,,,
Hurley-Pro-at-Trestles,California,trestles,,,,
Moche-Rip-Curl-Pro-Portugal,Portugal,molho-leste,,,,
Oi-Rio-Pro,Brazil,itauna,,,,
MEO-Rip-Curl-Pro-Portugal,Portugal,supertubos,,,,
Outerknown-Fiji-Pro,Fiji,cloudbreak,,,,
Corona-Open-J-Bay,South Africa,j-bay,,,,
Corona-Bali-Protected,Indonesia,keramas,,,,
Uluwatu-CT,Indonesia,uluwatu,,,,
Corona-Open-J-Bay---Men's,South Africa,j-bay,,,,
Tahiti-Pro-Teahupo'o,Tahiti,teahupoo,,,,
Surf-Ranch-Pro,United States,surf-ranch,,,,
Roxy-Pro-Gold-Coast,Australia,"kirra, snapper-rocks",,,,
Rip-Curl-Women's-Pro-Bells-Beach,Australia,bells-beach,,,,
Oi-Rio-Women's-Pro,Brazil,itauna,,,,
Corona-Bali-Protected---Women's,Indonesia,keramas,,,,
Uluwatu-CT---Women's,Indonesia,uluwatu,,,,
Corona-Open-J-Bay---Women's,South Africa,j-bay,,,,
Vans-US-Open-of-Surfing---Women's-CT,United States,huntington-beach,,,,
Surf-Ranch-Pro---Women's,United States,surf-ranch,,,,
Roxy-Pro-France,France,"la-graviere, la-penon",,,,
Beachwaver-Maui-Pro,Hawaii,honolua-bay,,,,
Drug-Aware-Margaret-River-Pro---Women's,Western Australia,margaret-river,,,,
Outerknown-Fiji-Women's-Pro,Fiji,cloudbreak,,,,
Swatch-Pro-at-Trestles,California,trestles,,,,
Cascais-Women's-Pro,Portugal,carcavelos,,,,
Maui-Women's-Pro,Hawaii,honolua-bay,,,,
Drug-Aware-Margaret-River-Pro,Western Australia,margaret-river,,,,
Fiji-Women's-Pro,Fiji,cloudbreak,,,,
Vans-US-Open-of-Surfing,United States,huntington-beach,,,,
Swatch-Women's-Pro,California,trestles,,,,
Women's-Drug-Aware-Margaret-River-Pro,Western Australia,margaret-river,,,,
Women's-Vans-US-Open-of-Surfing,United States,huntington-beach,,,,
Target-Maui-Pro,Hawaii,honolua-bay,,,,
Rio-Women's-Pro,Brazil,itauna,,,,
Swatch-Women's-Pro-Trestles,California,trestles,,,,
Drug-Aware-Margaret-River-Women's-Pro,Western Australia,margaret-river,,,,
TSB-Bank-NZ-Surf-Festival,New Zealand,fitzroy-beach,,,,
Colgate-Plax-Girls-Rio-Pro,Brazil,itauna,,,,
Cascais-Girls-Pro,Portugal,carcavelos,,,,
Commonwealth-Bank-Beachley-Classic,Australia,"manly, dee-why",,,,
Billabong-Rio-Pro,Brazil,itauna,,,,
Nike-US-Open-of-Surfing,United States,huntington-beach,,,,
Subaru-Pro-TSB-Bank-Women's-Surf-Festival,New Zealand,fitzroy-beach,,,,
